ID,Name,Category,Intake,University,Status,Start_Date
AANF23,"GR GS FA24 Campaign- Admit, No Deposit",Post Admission,AY2024,Illinois Institute of Technology,Completed,2024-03-20
AND23,GR GS FA24 Campaign- Deposit No Action,Post Admission,AY2024,Illinois Institute of Technology,Completed,2024-11-09
BPNANF23,"GR GS FA24 Campaign- Deposit, No I-20",Post Admission,AY2024,Illinois Institute of Technology,Completed,2024-11-07
BPNND23,GR GS FA24 Campaign- In Progress,Pre Admission,AY2024,Illinois Institute of Technology,Completed,2024-06-03
CTKANF23,"GR GS FA24 Campaign- Submit, Incomplete",Pre Admission,AY2024,Illinois Institute of Technology,Completed,2024-08-03
DANE24,GR GS Call Campaign: India ANF,Pre Admission,AY2024,Illinois Institute of Technology,Completed,2023-04-28
DNA24,GR GS Call Campaign: India No Deposit,Post Admission,AY2024,Illinois Institute of Technology,Completed,2023-03-07
FA24AND,GR GS Call Campaign: Other ANF,Post Admission,AY2024,Illinois Institute of Technology,Completed,2023-05-16
FA24DNA,GR GS Call Campaign: Other No Deposit,Post Admission,AY2024,Illinois Institute of Technology,Completed,2023-05-07
FA24DNI,GR GS SP25 Campaign- All I-20s Sent,Post Admission,AY2024,Illinois Institute of Technology,Completed,2024-05-12
FA24IP,"GR GS SP25 Campaign- Admit, No Deposit",Post Admission,AY2024,Illinois Institute of Technology,Completed,2024-09-10
FA24SIC,"GR GS SP25 Campaign- Deposit, No I-20",Post Admission,AY2024,Illinois Institute of Technology,Completed,2024-10-22
IANF23,GR GS SP25 Campaign- Deferrals to SP25,Post Admission,AY2024,Illinois Institute of Technology,Completed,2024-05-11
IND23,GR GS SP25 Campaign- In Progress,Pre Admission,AY2024,Illinois Institute of Technology,Completed,2024-07-10
OANF23,GR GS SP25 Campaign- New Inquiry,Pre Admission,AY2024,Illinois Institute of Technology,Completed,2024-10-18
OND23,"GR GS SP25 Campaign- Submitted, Incomplete",Pre Admission,AY2024,Illinois Institute of Technology,Completed,2024-09-10
SP25AI2S,GR GS Call Campaign: Africa ANF,Pre Admission,AY2024,Illinois Institute of Technology,Completed,2023-05-18
SP25AND,GR GS Call Campaign: Africa No Deposit,Post Admission,AY2024,Illinois Institute of Technology,Completed,2023-05-07
SP25DN1,"GR GS Call Campaign: Bangladesh, Pakistan, Nepal ANF",Pre Admission,AY2024,Illinois Institute of Technology,Completed,2023-05-16
SP25DSP,"GR GS Call Campaign: Bangladesh, Pakistan, Nepal No Deposit",Post Admission,AY2024,Illinois Institute of Technology,Completed,2023-05-07
SP25IP,"GR GS Call Campaign: China, Taiwan, Korea ANF",Pre Admission,AY2024,Illinois Institute of Technology,Completed,2023-05-16
SP25NIQ,"Deposit and Advised, Not Enrolled",Post Admission,AY2024,Illinois Institute of Technology,Completed,2024-07-17
SP25SIC,"Deposit, Not Advised",Post Admission,AY2024,Illinois Institute of Technology,Completed,2024-07-17
